FID;Id;LAT_GMS;LONG_GMS;LAT_GD;LONG_GD;TIPO_OCO;PROPR;DATA;MUNC;POLO
0;0;2° 18' 30,960000"" S;48° 15' 16,560000"" W;-2,308600000000000;-48,254600000000003;Crime Ambiental;NCR;05/01/2022 00:00:00;Tomé-Açu;Vera Cruz
1;0;2° 17' 4,560000"" S;48° 17' 41,280000"" W;-2,284600000000000;-48,294800000000002;Roubo/Furto;Campos Belo;05/01/2022 00:00:00;Tomé-Açu;Vera Cruz
2;0;2° 13' 14,520000"" S;48° 19' 49,620000"" W;-2,220700000000000;-48,330449999999999;Bloqueio de Via;Eikawa II / Fábrica;11/01/2022 00:00:00;Tomé-Açu;Vera Cruz
3;0;2° 18' 45,720000"" S;48° 15' 39,600000"" W;-2,312700000000000;-48,261000000000003;Roubo/Furto;São João;15/01/2022 00:00:00;Tomé-Açu;Vera Cruz
4;0;2° 5' 14,100000"" S;48° 17' 47,940000"" W;-2,087250000000000;-48,296650000000000;Crime Ambiental;Vale Verde I;13/01/2022 00:00:00;Tomé-Açu;Vera Cruz
5;0;2° 14' 16,620000"" S;48° 14' 54,240000"" W;-2,237950000000000;-48,248399999999997;Bloqueio de Via;Campos Belo / Ilha Verde;13/01/2022 00:00:00;Tomé-Açu;Vera Cruz
6;0;2° 9' 54,476000"" S;48° 22' 8,282000"" W;-2,165132220000000;-48,368967220000002;Outros;Xavier;20/01/2022 00:00:00;Acará;Vera Cruz
7;0;2° 16' 33,276000"" S;48° 16' 17,259600"" W;-2,275910000000000;-48,271461000000002;Invasão;Campos Belo;21/01/2022 00:00:00;Tomé-Açu;Vera Cruz
8;0;2° 13' 36,944976"" S;48° 19' 8,804640"" W;-2,226929160000000;-48,319112400000002;Bloqueio de Via;Eikawa II;26/01/2022 00:00:00;Tomé-Açu;Vera Cruz
9;0;2° 14' 31,200000"" S;48° 15' 6,840000"" W;-2,242000000000000;-48,251899999999999;Roubo/Furto;Ilha Verde;25/01/2022 00:00:00;Tomé-Açu;Vera Cruz
10;0;2° 12' 27,980000"" S;48° 19' 18,187800"" W;-2,207772220000000;-48,321718830000002;Ameaça/Agressão;Eikawa II;28/01/2022 00:00:00;Tomé-Açu;Vera Cruz
11;0;2° 11' 53,253600"" S;48° 21' 1,166400"" W;-2,198126000000000;-48,350324000000001;Roubo/Furto;Ipitinga II;08/02/2022 00:00:00;Acará;Vera Cruz
12;0;2° 17' 23,280000"" S;48° 17' 19,320000"" W;-2,289800000000000;-48,288699999999999;Roubo/Furto;Campos Belo;09/02/2022 00:00:00;Tomé-Açu;Vera Cruz
13;0;2° 12' 12,931200"" S;48° 23' 29,580000"" W;-2,203592000000000;-48,391550000000002;Roubo/Furto;Conquista;21/02/2022 00:00:00;Acará;Vera Cruz
14;0;2° 10' 40,267200"" S;48° 20' 56,166000"" W;-2,177852000000000;-48,348934999999997;Bloqueio de Via;Ipitinga II / Tomé-Açu;01/03/2022 00:00:00;Tomé-Açu;Vera Cruz
15;0;2° 10' 40,175400"" S;48° 20' 52,193400"" W;-2,177826500000000;-48,347831499999998;Bloqueio de Via;Ipitinga II / Tomé-Açu;10/03/2022 00:00:00;Acará/Tomé-Açu;Vera Cruz
16;0;2° 9' 20,883600"" S;48° 25' 18,490800"" W;-2,155801000000000;-48,421802999999997;Roubo/Furto;Conquista I e II;10/03/2022 00:00:00;Acará;Vera Cruz
17;0;2° 10' 6,034800"" S;48° 21' 15,476400"" W;-2,168343000000000;-48,354298999999997;Roubo/Furto;Ipitinga II;10/03/2022 00:00:00;Acará;Vera Cruz
18;0;2° 16' 22,227600"" S;48° 17' 29,727600"" W;-2,272841000000000;-48,291590999999997;Ameaça/Agressão;Campos Belo;10/03/2022 00:00:00;Tomé-Açu;Vera Cruz
19;0;2° 17' 19,060800"" S;48° 17' 21,526800"" W;-2,288628000000000;-48,289313000000000;Invasão;Campos Belo;09/03/2022 00:00:00;Tomé-Açu;Vera Cruz
20;0;2° 6' 26,800000"" S;48° 28' 44,700000"" W;-2,107444440000000;-48,479083330000002;Ameaça/Agressão;Ibitira;20/03/2022 00:00:00;Acará;Vera Cruz
21;0;2° 10' 59,239998"" S;48° 18' 23,690001"" W;-2,183122220000000;-48,306580560000000;Roubo/Furto;Solimões;25/03/2022 00:00:00;Tomé-Açu;Vera Cruz
22;0;2° 10' 25,680000"" S;48° 17' 39,120000"" W;-2,173800000000000;-48,294199999999996;Ameaça/Agressão;Solimões;29/03/2022 00:00:00;Acará;Vera Cruz
23;0;2° 17' 20,230800"" S;48° 17' 24,871200"" W;-2,288953000000000;-48,290241999999999;Bloqueio de Via;Campos Belo;05/04/2022 00:00:00;Tomé-Açu;Vera Cruz
24;0;2° 11' 4,671600"" S;48° 18' 41,860800"" W;-2,184631000000000;-48,311627999999999;Ameaça/Agressão;Solimões;05/04/2022 00:00:00;Tomé-Açu;Vera Cruz
25;0;2° 3' 2,487600"" S;48° 17' 4,203600"" W;-2,050691000000000;-48,284500999999999;Bloqueio de Via;Vale Verde;05/04/2022 00:00:00;Acará;Vera Cruz
26;0;2° 17' 21,516000"" S;48° 17' 21,919200"" W;-2,289310000000000;-48,289422000000002;Roubo/Furto;Campos Belo;07/04/2022 00:00:00;Tomé-Açu;Vera Cruz
27;0;2° 4' 32,952000"" S;48° 16' 38,190000"" W;-2,075820000000000;-48,277275000000003;Bloqueio de Via;Vale Verde;11/04/2022 00:00:00;Acará;Vera Cruz
28;0;2° 9' 33,998400"" S;48° 17' 54,650400"" W;-2,159444000000000;-48,298513999999997;Roubo/Furto;Solimões;11/04/2022 00:00:00;Acará;Vera Cruz
29;0;2° 14' 39,840000"" S;48° 17' 39,480000"" W;-2,244400000000000;-48,294300000000000;Roubo/Furto;Eikawa I;18/04/2022 00:00:00;Tomé-Açu;Vera Cruz
30;0;2° 3' 2,509200"" S;48° 17' 3,778800"" W;-2,050697000000000;-48,284382999999998;Roubo/Furto;Vale Verde;19/04/2022 00:00:00;Acará;Vera Cruz
